co_ibge_6d,termo,coef_excluido,delta,dfbeta,n_excluido
317010,estrato_capital,0.23869755835967027,0.006919211963816035,0.08043700126957229,3
130080,estrato_interior_proximo_polo,0.12315264184942915,-0.0034493203421130936,-0.0799440757354587,1
130270,estrato_interior_proximo_polo,0.12315264184942937,-0.0034493203421128715,-0.07994407573545355,1
310730,estrato_capital,0.2249038926030395,-0.006874453792814733,-0.07991668001384508,8
140010,estrato_metropolitano,0.2894146950120112,-0.004819103651921897,-0.07947265676057205,15
210090,estrato_metropolitano,0.2894632521737352,-0.004770546490197924,-0.07867189236003506,1
210440,estrato_capital,0.23837973927574893,0.006601392879894696,0.07674230103628504,1
210675,estrato_capital,0.2383797392757483,0.006601392879894058,0.07674230103627762,1
310150,estrato_interior_proximo_polo,0.1232919069296396,-0.0033100552619026447,-0.07671636215266389,5
261000,estrato_capital,0.2383339258803598,0.006555579484505553,0.07620971261980769,2
311230,estrato_interior_proximo_polo,0.12331860722252742,-0.003283354969014815,-0.07609753582600386,3
316970,estrato_interior_proximo_polo,0.12982056480114082,0.003218602609598581,0.07459678581968526,4
150170,estrato_interior_proximo_polo,0.12342925646686673,-0.003172705724675512,-0.07353304465319689,8
150630,estrato_metropolitano,0.29868562864279624,0.00445182997886312,0.07341588424343513,2
130170,estrato_interior_proximo_polo,0.12975670585198468,0.0031547436604424384,0.07311674217010125,1
130395,estrato_interior_proximo_polo,0.12975670585198446,0.0031547436604422163,0.0731167421700961,1
150620,estrato_capital,0.23797405435931526,0.006195707963461028,0.07202614574159678,5
240200,estrato_interior_proximo_polo,0.12349976936016932,-0.0031021928313729186,-0.07189878412549668,3
316070,estrato_metropolitano,0.29858387081313476,0.004350072149201634,0.07173777859277893,3
150810,estrato_interior_proximo_polo,0.12353324348535344,-0.0030687187061888,-0.07112296230163614,7
430900,estrato_interior_proximo_polo,0.12353667054523383,-0.0030652916463084073,-0.07104353415131821,1
313270,estrato_metropolitano,0.289942249164607,-0.004291549499326142,-0.07077267163467911,3
312200,estrato_interior_proximo_polo,0.12964239308918252,0.0030404308976402783,0.07046734250274911,2
150803,estrato_metropolitano,0.29848257241068255,0.0042487737467494235,0.07006724943425623,1
150580,estrato_capital,0.22578848398912135,-0.005989862406732882,-0.06963315656964114,7
120020,estrato_capital,0.23768944928683627,0.0059111028909820396,0.06871756397014121,5
313700,estrato_capital,0.22587003495854122,-0.0059083114373130186,-0.06868511285237039,4
315400,estrato_capital,0.22587003495854133,-0.0059083114373129075,-0.0686851128523691,4
313600,estrato_capital,0.2258700349585414,-0.005908311437312824,-0.06868511285236814,4
311430,estrato_capital,0.22587003495854174,-0.005908311437312491,-0.06868511285236427,4
120020,estrato_interior_proximo_polo,0.123642891287147,-0.0029590709043952335,-0.06858168132410841,5
150270,estrato_interior_proximo_polo,0.12953935881392967,0.002937396622387428,0.06807934165411934,2
313980,estrato_metropolitano,0.29012272122665694,-0.004111077437276178,-0.06779647620952997,2
310470,estrato_metropolitano,0.29012272122665694,-0.004111077437276178,-0.06779647620952997,2
317052,estrato_metropolitano,0.2901227212266572,-0.004111077437275901,-0.0677964762095254,2
315240,estrato_metropolitano,0.2901227212266573,-0.004111077437275845,-0.06779647620952449,2
150747,estrato_interior_proximo_polo,0.12949856110313768,0.0028965989115954383,0.06713378283153978,2
320120,estrato_metropolitano,0.2901850790592336,-0.004048719604699547,-0.06676812260216992,3
431010,estrato_metropolitano,0.290206471871314,-0.004027326792619135,-0.0664153301049735,1
316210,estrato_capital,0.23746479898865078,0.005686452592796543,0.06610596652019249,9
314870,estrato_capital,0.23746479898864972,0.005686452592795488,0.06610596652018023,9
150510,estrato_interior_proximo_polo,0.12384019966545973,-0.002761762526082512,-0.06400871205057042,2
350750,estrato_metropolitano,0.2981112240786695,0.003877425414736402,0.06394328102429846,5
150630,estrato_capital,0.23725816280929254,0.00547981641343831,0.06370378622736461,2
330620,estrato_interior_proximo_polo,0.12386610807760484,-0.002735854113937397,-0.0634082389552111,1
230810,estrato_interior_proximo_polo,0.12386925436121143,-0.002732707830330805,-0.0633353182896934,5
240260,estrato_capital,0.23714851393975422,0.00537016754389999,0.062429099701733624,7
210530,estrato_metropolitano,0.29047154971971384,-0.003762248944219282,-0.062043886288380964,8
521720,estrato_capital,0.22644214182453615,-0.005336204571318087,-0.06203427444085489,4
310090,estrato_interior_proximo_polo,0.12926971552744584,0.0026677533359036054,0.06182988344838627,9
520970,estrato_metropolitano,0.2905076029677748,-0.003726195696158341,-0.06144932605162236,1
230550,estrato_interior_proximo_polo,0.12397013558754434,-0.002631826603997897,-0.060997218142896555,7
431405,estrato_metropolitano,0.29788799683224293,0.003654198168309808,0.06026200259240723,4
310030,estrato_interior_proximo_polo,0.12400520862451109,-0.0025967535670311515,-0.06018433872160617,2
230420,estrato_metropolitano,0.2905899044902981,-0.0036438941736350317,-0.06009207766628021,6
353440,estrato_metropolitano,0.2906310743058741,-0.0036027243580590285,-0.059413139245675185,3
280350,estrato_metropolitano,0.2978353600495114,0.003601561385578267,0.05939396046898532,5
520025,estrato_metropolitano,0.29063379938088574,-0.0035999992830473837,-0.059368199570853944,1
420540,estrato_metropolitano,0.2977738103963174,0.003540011732384274,0.05837893468507887,1
110020,estrato_metropolitano,0.2907074556161637,-0.0035263430477694424,-0.05815352208571928,5
